idx	preset	role	shared_l3	a_slug	a_title	b_slug	b_title	trig_jaccard	shared_triggers	title_identical	a_user_summary	b_user_summary	a_workflow	b_workflow
1	agt-001	AGT-001 衡远	月度经营复盘	p2s-agentic-pnl-analyst	Agent 驱动的 P&L 归因分析 — SKU 级成本拆解	p2s-llm-business-intelligence-reasoning	LLM Business Intelligence Reasoning — LLM 商业智能推理：从数据到决策的 CoT 分析	0			30 分钟把每个 SKU 的成本拆开、排出利润榜，定位拖累整体的大促亏损款和新品盈亏拐点。	把上周多维度数据交给 LLM 按链条推理，自动写出异常、假设、结论和建议的复盘分析。	汇总期间每个 SKU 的销售额、COGS、FBA 费、广告费与退货数据 → 按成本项与行业基准比对，标记偏差超过 20% 的异常项 → 输出 SKU 级利润排行榜并定位前三名亏损 SKU → 对新品按周分阶段追踪并外推盈亏拐点	把各指标整理为快照并计算环比与是否异常 → 拼装 CoT 提示词（数据摘要、外部信号、推理框架） → 让 LLM 按异常、假设、结论、建议输出分析 → 任一指标异常时自动触发深度分析并生成汇报素材
2	agt-001	AGT-001 衡远	月度经营复盘	p2s-agentic-pnl-analyst	Agent 驱动的 P&L 归因分析 — SKU 级成本拆解	p2s-llm-ecommerce-report-automation	LLM 驱动电商经营报表自动生成 — 日报/周报零代码落地	0			30 分钟把每个 SKU 的成本拆开、排出利润榜，定位拖累整体的大促亏损款和新品盈亏拐点。	把 SKU 周度数据自动写成结构化日报周报，标出异常 SKU 并推送，省掉几小时手工整理。	汇总期间每个 SKU 的销售额、COGS、FBA 费、广告费与退货数据 → 按成本项与行业基准比对，标记偏差超过 20% 的异常项 → 输出 SKU 级利润排行榜并定位前三名亏损 SKU → 对新品按周分阶段追踪并外推盈亏拐点	汇总 SKU 级周度指标并计算同比 → 由代码判定异常 SKU 并生成关键数字 → 让 LLM 生成结构化 Markdown 叙述与优先行动建议 → 校验报告数字与源数据一致后按渠道推送
3	agt-001	AGT-001 衡远	月度经营复盘/经营预测	p2s-llm-business-intelligence-reasoning	LLM Business Intelligence Reasoning — LLM 商业智能推理：从数据到决策的 CoT 分析	p2s-llm-ecommerce-report-automation	LLM 驱动电商经营报表自动生成 — 日报/周报零代码落地	0			把上周多维度数据交给 LLM 按链条推理，自动写出异常、假设、结论和建议的复盘分析。	把 SKU 周度数据自动写成结构化日报周报，标出异常 SKU 并推送，省掉几小时手工整理。	把各指标整理为快照并计算环比与是否异常 → 拼装 CoT 提示词（数据摘要、外部信号、推理框架） → 让 LLM 按异常、假设、结论、建议输出分析 → 任一指标异常时自动触发深度分析并生成汇报素材	汇总 SKU 级周度指标并计算同比 → 由代码判定异常 SKU 并生成关键数字 → 让 LLM 生成结构化 Markdown 叙述与优先行动建议 → 校验报告数字与源数据一致后按渠道推送
4	agt-001	AGT-001 衡远	资源情景比较	p2s-multi-objective-budget-allocation	Multi-Objective Budget Allocation（多目标预算分配）	p2s-multi-objective-constrained-action-planning	供应链多目标约束感知行动规划 — MILP+LLM的Pareto最优决策方案自动生成	0			让预算同时服务短期 ROI、品牌搜索量和新品曝光三个目标，扫描 Pareto 前沿找平衡点。	把成本、质量、时效这些互相冲突的目标写进约束模型，自动生成几套 Pareto 最优补货方案并给出权衡对比，让人快速拍板。	汇总各渠道三项目标贡献系数与半饱和点 → 设定本期各目标权重并跨部门对齐 → 计算各渠道饱和度调整后的三项效能 → 在总预算约束下做加权多目标优化 → 扫描 Pareto 前沿输出推荐分配与预期达成	汇集 SKU 需求与 MOQ、供应商产能/风险分/分 SKU 报价、预算上限，并把自然语言业务约束交给 LLM 解析成结构化约束 → 用 SupplyChainMOOPlanner 按加权和法设定多组目标权重（成本／服务水平／风险），分别建模为 MILP → 求解并计算每个方案的 total_cost、service_level、risk_score 与 objective_value，得到 Pareto 前沿 → 用 _compute_plan_metrics 校验各方案的履约量与启用供应商，并用反事实仿真验证风险分布 → 把候选方案转换为 Palantir Action（如 CreatePurchaseOrder）供决策者选择，输出方案间权衡对比
5	agt-001	AGT-001 衡远	资源情景比较	p2s-multi-objective-budget-allocation	Multi-Objective Budget Allocation（多目标预算分配）	p2s-sc-whatif-scenario-analysis-engine	供应链What-If情景分析引擎 — 因果ML参数化多情景对比与韧性量化评估	0			让预算同时服务短期 ROI、品牌搜索量和新品曝光三个目标，扫描 Pareto 前沿找平衡点。	把促销力度、物流策略等方案参数化，半小时跑出各情景的因果增量和毛利影响。	汇总各渠道三项目标贡献系数与半饱和点 → 设定本期各目标权重并跨部门对齐 → 计算各渠道饱和度调整后的三项效能 → 在总预算约束下做加权多目标优化 → 扫描 Pareto 前沿输出推荐分配与预期达成	设定情景参数组合（如折扣 0%、15%、20%、30%） → 用因果模型分离季节效应并估计各情景的处理效应 → 做蒙特卡洛抽样给出不确定性区间 → 对比各情景 GMV 与毛利影响并给出推荐
6	agt-001	AGT-001 衡远	资源情景比较	p2s-multi-objective-constrained-action-planning	供应链多目标约束感知行动规划 — MILP+LLM的Pareto最优决策方案自动生成	p2s-sc-whatif-scenario-analysis-engine	供应链What-If情景分析引擎 — 因果ML参数化多情景对比与韧性量化评估	0			把成本、质量、时效这些互相冲突的目标写进约束模型，自动生成几套 Pareto 最优补货方案并给出权衡对比，让人快速拍板。	把促销力度、物流策略等方案参数化，半小时跑出各情景的因果增量和毛利影响。	汇集 SKU 需求与 MOQ、供应商产能/风险分/分 SKU 报价、预算上限，并把自然语言业务约束交给 LLM 解析成结构化约束 → 用 SupplyChainMOOPlanner 按加权和法设定多组目标权重（成本／服务水平／风险），分别建模为 MILP → 求解并计算每个方案的 total_cost、service_level、risk_score 与 objective_value，得到 Pareto 前沿 → 用 _compute_plan_metrics 校验各方案的履约量与启用供应商，并用反事实仿真验证风险分布 → 把候选方案转换为 Palantir Action（如 CreatePurchaseOrder）供决策者选择，输出方案间权衡对比	设定情景参数组合（如折扣 0%、15%、20%、30%） → 用因果模型分离季节效应并估计各情景的处理效应 → 做蒙特卡洛抽样给出不确定性区间 → 对比各情景 GMV 与毛利影响并给出推荐
7	agt-002	AGT-002 枢衡	异常冻结与恢复	p2s-agent-error-budget	Agent Error Budget — 双向错误预算：自主权随可靠性动态调整	p2s-black-swan-scenario-simulation-tag	黑天鹅情景模拟标签 — 极端事件供应链压力测试与预案激活机制	0			给 Agent 的自主权装一个会涨也会跌的水位表：表现好就多放权，出错就自动缩量回滚。	把封号、断供这类极端事件量化成 GMV 损失和恢复时间，并给每个场景打上预案激活标签。	定义发布阶段与各阶段流量比例、观察窗口 → 配置 Task SLI 与 Judgment SLI 的达标门槛 → Canary 阶段跑满观察窗口后执行 SLO Gate 判定 → 达标即扩量，SLI 跌破阈值自动回滚旧版并告警 → 把 Gate 结果回写为 Agent 自主权水位的升降	定义黑天鹅情景（发生概率、GMV 影响比例、持续与恢复周期、缓解成本、预案动作） → 按月度 GMV 与库存天数运行压力测试 → 量化每个情景的 GMV 损失与总损失，判定库存能否撑过 → 计算韧性评分并按概率阈值输出预案激活标签 → 按总损失排序输出风险清单
8	agt-002	AGT-002 枢衡	异常冻结与恢复	p2s-agent-error-budget	Agent Error Budget — 双向错误预算：自主权随可靠性动态调整	p2s-ltv-acquisition-budget-gate	LTV-Acquisition-Budget-Gate — LTV/CAC比值驱动的获客预算自动开闸/熔断决策器	0			给 Agent 的自主权装一个会涨也会跌的水位表：表现好就多放权，出错就自动缩量回滚。	按 LTV/CAC 比值自动决定哪些渠道熔断新客投放、哪些加预算，并带样本量与连续扩增护栏。	定义发布阶段与各阶段流量比例、观察窗口 → 配置 Task SLI 与 Judgment SLI 的达标门槛 → Canary 阶段跑满观察窗口后执行 SLO Gate 判定 → 达标即扩量，SLI 跌破阈值自动回滚旧版并告警 → 把 Gate 结果回写为 Agent 自主权水位的升降	汇总各渠道预算、30天CAC与LTV分位数 → 校验新客样本量是否达门槛 → 比值低于熔断阈值判熔断、高于开闸阈值判扩增 → 按扩增比例调整预算并受连续扩增上限约束 → 输出渠道决策与新预算表
9	agt-002	AGT-002 枢衡	异常冻结与恢复	p2s-agent-error-budget	Agent Error Budget — 双向错误预算：自主权随可靠性动态调整	p2s-ltv-cac-acquisition-gate	LTV CAC Acquisition Gate — LTV/CAC比率触发渠道获客自动暂停或扩投	0			给 Agent 的自主权装一个会涨也会跌的水位表：表现好就多放权，出错就自动缩量回滚。	用 LTV/CAC 比值判断哪个渠道该暂停新客投放、哪个该加预算，并保留品牌最低预算。	定义发布阶段与各阶段流量比例、观察窗口 → 配置 Task SLI 与 Judgment SLI 的达标门槛 → Canary 阶段跑满观察窗口后执行 SLO Gate 判定 → 达标即扩量，SLI 跌破阈值自动回滚旧版并告警 → 把 Gate 结果回写为 Agent 自主权水位的升降	汇总各渠道预测LTV、当月CAC、新客数与预算 → 按最小新客数门槛过滤渠道 → 比值低于暂停阈值判暂停、高于扩投阈值判加预算 → 按扩投比例调整并把释放预算转入高效渠道 → 保留品牌最低预算并设观察天数后复评
10	agt-002	AGT-002 枢衡	运行监测/异常冻结与恢复	p2s-agent-error-budget	Agent Error Budget — 双向错误预算：自主权随可靠性动态调整	p2s-model-performance-monitor	Skill-Model-Performance-Monitor	0			给 Agent 的自主权装一个会涨也会跌的水位表：表现好就多放权，出错就自动缩量回滚。	让新模型先静默陪跑几天，用真实标签比出谁更准，再决定切还是等；模型劣化从 7 天发现压到 1 小时。	定义发布阶段与各阶段流量比例、观察窗口 → 配置 Task SLI 与 Judgment SLI 的达标门槛 → Canary 阶段跑满观察窗口后执行 SLO Gate 判定 → 达标即扩量，SLI 跌破阈值自动回滚旧版并告警 → 把 Gate 结果回写为 Agent 自主权水位的升降	让新模型以 Shadow 模式静默预测，不接生产流量 → 等待真实标签到达（如 T+7 的实际销量） → 用滑动窗口对比 Champion 与 Challenger 的 AUC/MAPE → 做统计显著性检验并给出 GO / WAIT / ABORT 建议 → 指标退化超阈值时触发告警与重训提示
11	agt-002	AGT-002 枢衡	依赖协调	p2s-agent-qmix-topology-learning	Agent Q-Mix — MARL 学习最优 MAS 通信拓扑（QMIX 值分解）	p2s-autogen-multi-agent-conversation	AutoGen — 多智能体对话编排框架	0			让多 Agent 系统自己学出谁需要跟谁通信，去掉没用的广播，省 token 又少返工。	把评论分析拆成抽取、情感、校验、预警几个角色，让它们对话协作，越聊越准。	采集 MAS 执行记录、token 日志与事后决策准确率标签 → 把通信动作编码为可选动作（独立/辩论/广播等） → 用 QMIX 值分解学习各任务类型下的最优通信拓扑 → 输出拓扑策略与 token、准确率对比	定义抽取、情感、校验、预警等角色 Agent 与各自系统提示 → 用共享对话消息驱动角色轮流发言与交接 → 由校验 Agent 复核抽取结果并标记待人工复核项 → 由预警 Agent 按业务规则库触发阈值告警 → 汇总输出多维分析结论
12	agt-002	AGT-002 枢衡	依赖协调	p2s-agent-qmix-topology-learning	Agent Q-Mix — MARL 学习最优 MAS 通信拓扑（QMIX 值分解）	p2s-concat-consensus-decentralized-mas	CONCAT共识驱动去中心化MAS协同 — 无需中央Orchestrator的自组织Agent网络	0			让多 Agent 系统自己学出谁需要跟谁通信，去掉没用的广播，省 token 又少返工。	去掉中央调度，让多个 Agent 并行给结论、按共识合并，谁掉线都不影响整体。	采集 MAS 执行记录、token 日志与事后决策准确率标签 → 把通信动作编码为可选动作（独立/辩论/广播等） → 用 QMIX 值分解学习各任务类型下的最优通信拓扑 → 输出拓扑策略与 token、准确率对比	各 Agent 独立并行生成答案与置信度 → 按语义相似度阈值做共识聚类 → 在簇内按置信度选举组长输出代表答案 → 按效益修剪相关性低的通信边 → 聚合输出最终结论
13	agt-002	AGT-002 枢衡	依赖协调	p2s-agent-qmix-topology-learning	Agent Q-Mix — MARL 学习最优 MAS 通信拓扑（QMIX 值分解）	p2s-cross-org-agent-protocol	Cross-Org Agent Protocol — 跨组织多智能体协调协议：多委托人、联邦编排、工作区委托	0			让多 Agent 系统自己学出谁需要跟谁通信，去掉没用的广播，省 token 又少返工。	让分属不同公司或不同厂商的 Agent 互相协作，靠签名消息和委托关系把协作口径对齐。	采集 MAS 执行记录、token 日志与事后决策准确率标签 → 把通信动作编码为可选动作（独立/辩论/广播等） → 用 QMIX 值分解学习各任务类型下的最优通信拓扑 → 输出拓扑策略与 token、准确率对比	建立 MPAC 会话并声明双方委托人 → 按 MPAC 层级与消息类型封装消息 → 对消息签名并在接收端验签 → 按委托范围交换约定字段并协商出结论 → 留存会话记录供审计
14	agt-002	AGT-002 枢衡	依赖协调	p2s-agent-qmix-topology-learning	Agent Q-Mix — MARL 学习最优 MAS 通信拓扑（QMIX 值分解）	p2s-dynamic-dag-orchestration	Dynamic DAG Orchestration — 运行时动态调整工作流拓扑	0			让多 Agent 系统自己学出谁需要跟谁通信，去掉没用的广播，省 token 又少返工。	工作流跑到一半发现置信度不够就停、发现供应缺口就插新节点，让拓扑跟着数据实时变。	采集 MAS 执行记录、token 日志与事后决策准确率标签 → 把通信动作编码为可选动作（独立/辩论/广播等） → 用 QMIX 值分解学习各任务类型下的最优通信拓扑 → 输出拓扑策略与 token、准确率对比	构建初始节点与依赖（需求预测、竞品分析、供应链评估、毛利优化、决策汇总） → 为节点设定状态与置信度门控判据 → 按判据在运行时注入新节点（如紧急产能评估） → 置信度不足时停止后续节点并转人工审核 → 输出调整后的拓扑与执行记录
15	agt-002	AGT-002 枢衡	需求分诊	p2s-agentrouter-kg-guided	AgentRouter — 知识图谱引导的多智能体路由器	p2s-regulatory-update-impact-dispatcher	Regulatory-Update-Impact-Dispatcher — 法规变更影响品类自动分发合规更新任务	0			一条投诉里同时有技术故障和政策问题，它按真实的语义关系把工单分给对的 Agent，而不是只看关键词。	新规一发布，当天揪出在售的哪些 SKU 受影响，把工单直接派到品类 QC 手上，不用再等两周才发现。	注册各业务 Agent 与能力标签 → 添加产品、配件、故障类型等知识图谱实体 → 对跨领域查询做 Top-K 路由并输出权重与路由原因 → 按权重加权聚合多个 Agent 的答复	接收法规变更条目并校验置信度阈值 → 按受影响品类匹配当前在售 SKU → 按生效日倒排设定截止日期（生效前 30 天） → 按严重度与紧迫度计算优先级并生成工单 → 分发给品类 QC 负责人并跟踪状态
16	agt-002	AGT-002 枢衡	依赖协调	p2s-autogen-multi-agent-conversation	AutoGen — 多智能体对话编排框架	p2s-concat-consensus-decentralized-mas	CONCAT共识驱动去中心化MAS协同 — 无需中央Orchestrator的自组织Agent网络	0			把评论分析拆成抽取、情感、校验、预警几个角色，让它们对话协作，越聊越准。	去掉中央调度，让多个 Agent 并行给结论、按共识合并，谁掉线都不影响整体。	定义抽取、情感、校验、预警等角色 Agent 与各自系统提示 → 用共享对话消息驱动角色轮流发言与交接 → 由校验 Agent 复核抽取结果并标记待人工复核项 → 由预警 Agent 按业务规则库触发阈值告警 → 汇总输出多维分析结论	各 Agent 独立并行生成答案与置信度 → 按语义相似度阈值做共识聚类 → 在簇内按置信度选举组长输出代表答案 → 按效益修剪相关性低的通信边 → 聚合输出最终结论
